"datetime","temperatura","humidade","vento","descricao"
"2025-06-13 12:00:00",28.05,51,3.06,"clear sky"
"2025-06-13 15:00:00",30.35,44,3.41,"clear sky"
"2025-06-13 18:00:00",30.23,45,3.83,"clear sky"
"2025-06-13 21:00:00",27.98,67,2.67,"light rain"
"2025-06-14 00:00:00",22.64,91,2.8,"moderate rain"
"2025-06-14 03:00:00",21.15,88,1.4,"light rain"
"2025-06-14 06:00:00",21.4,86,3.13,"overcast clouds"
"2025-06-14 09:00:00",23.58,61,2.68,"overcast clouds"
"2025-06-14 12:00:00",28.51,37,3.48,"broken clouds"
"2025-06-14 15:00:00",28.15,36,4.55,"broken clouds"
"2025-06-14 18:00:00",25.08,43,2.63,"overcast clouds"
"2025-06-14 21:00:00",21.96,59,3.12,"overcast clouds"
"2025-06-15 00:00:00",19.35,65,2.85,"overcast clouds"
"2025-06-15 03:00:00",18.05,59,3.01,"overcast clouds"
"2025-06-15 06:00:00",17.06,60,2.7,"overcast clouds"
"2025-06-15 09:00:00",20.85,48,3,"scattered clouds"
"2025-06-15 12:00:00",24.06,34,3.16,"few clouds"
"2025-06-15 15:00:00",25.31,30,3.76,"clear sky"
"2025-06-15 18:00:00",23.11,36,4.36,"clear sky"
"2025-06-15 21:00:00",18.61,53,3.46,"clear sky"
"2025-06-16 00:00:00",16.16,59,2.03,"clear sky"
"2025-06-16 03:00:00",14.48,66,1.14,"clear sky"
"2025-06-16 06:00:00",15.9,62,1.37,"clear sky"
"2025-06-16 09:00:00",21.29,48,2,"clear sky"
"2025-06-16 12:00:00",25.12,38,2.65,"clear sky"
"2025-06-16 15:00:00",26.68,36,3.39,"broken clouds"
"2025-06-16 18:00:00",25.31,42,3.72,"scattered clouds"
"2025-06-16 21:00:00",21.2,56,2.25,"scattered clouds"
"2025-06-17 00:00:00",18.88,65,2.23,"few clouds"
"2025-06-17 03:00:00",17.06,74,1.44,"clear sky"
"2025-06-17 06:00:00",18.36,66,1.81,"clear sky"
"2025-06-17 09:00:00",23.83,46,2.63,"clear sky"
"2025-06-17 12:00:00",27.46,34,3.22,"clear sky"
"2025-06-17 15:00:00",28.65,30,3.61,"clear sky"
"2025-06-17 18:00:00",26.56,35,4.16,"clear sky"
"2025-06-17 21:00:00",22.51,49,2.23,"clear sky"
"2025-06-18 00:00:00",19.47,65,1.89,"clear sky"
"2025-06-18 03:00:00",17.82,72,1.61,"clear sky"
"2025-06-18 06:00:00",19.05,61,2.15,"clear sky"
"2025-06-18 09:00:00",24.75,41,2.25,"clear sky"
